service,category,ports,iana_descriptions,nmap_descriptions,iana_references,rationale,additional_source,evidence_basis,cisco_category,cisco_subcategory,cisco_source
Elite,other,31337/tcp,,eldim | Sometimes interesting stuff can be found here | eldim is a secure file upload proxy,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
EtherNetIP-1,industrial,2222/tcp,,EtherNet/IP-1 | EtherNet-IP-1 | EtherNet/IP I/O,,Documented purpose: EtherNet/IP,,registry description / named protocol interpretation,,,
EtherNetIP-2,industrial,44818/tcp; 44818/udp,,EtherNet/IP messaging | EtherNet/IP-2 | EtherNet-IP-2 | EtherNet/IP messaging,,Documented purpose: EtherNet/IP,,registry description / named protocol interpretation,,,
IIS,web,1027/tcp,,6a44 | IPv6 Behind NAT44 CPEs,,Nmap label identifies Microsoft Internet Information Services; the port comment names a different occupant.,,registry description / named protocol interpretation,,,
IISrpc-or-vat,other,3456/udp,,also VAT default data,,The Nmap service label explicitly combines unrelated possible services.,,fallback; see rationale,,,
L2TP,vpn,1701/udp,l2tp,,,Documented purpose: l2tp,,registry description / named protocol interpretation,layer3-over-ip,tunneling-protocols,https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/qos_nbar/prot_lib/protocol-reference/nbar-protocol-reference/l.html
LSA-or-nterm,other,1026/tcp,,cap | nterm remote_login network_terminal | Calendar Access Protocol,,The Nmap service label explicitly combines unrelated possible services.,,fallback; see rationale,,,
LiebDevMgmt_A,management,3029/tcp; 3029/udp,LiebDevMgmt_A,LiebDevMgmt-A,,"Device/system administration, status, or management identified by the service label and registry description.",,registry description / named protocol interpretation,,,
LiebDevMgmt_C,management,3027/tcp; 3027/udp,LiebDevMgmt_C,LiebDevMgmt-C,,"Device/system administration, status, or management identified by the service label and registry description.",,registry description / named protocol interpretation,,,
LiebDevMgmt_DM,management,3028/tcp; 3028/udp,LiebDevMgmt_DM,LiebDevMgmt-DM,,"Device/system administration, status, or management identified by the service label and registry description.",,registry description / named protocol interpretation,,,
MOS-aux,media,10542/tcp; 10542/udp,MOS Low Priority Port,MOS Low Priority Port,,"Audio/video, voice calling, audiovisual device operation, or broadcast media workflow.",,registry description / named protocol interpretation,,,
MOS-lower,media,10540/tcp; 10540/udp,MOS Media Object Metadata Port,MOS Media Object Metadata Port,,"Audio/video, voice calling, audiovisual device operation, or broadcast media workflow.",,registry description / named protocol interpretation,,,
MOS-soap,media,10543/tcp; 10543/udp,MOS SOAP Default Port,MOS SOAP Default Port,,"Audio/video, voice calling, audiovisual device operation, or broadcast media workflow.",,registry description / named protocol interpretation,,,
MOS-soap-opt,media,10544/tcp; 10544/udp,MOS SOAP Optional Port,MOS SOAP Optional Port,,"Audio/video, voice calling, audiovisual device operation, or broadcast media workflow.",,registry description / named protocol interpretation,,,
MOS-upper,media,10541/tcp; 10541/udp,MOS Running Order Port,MOS Running Order Port,,"Audio/video, voice calling, audiovisual device operation, or broadcast media workflow.",,registry description / named protocol interpretation,,,
MaxumSP,other,4179/tcp; 4179/udp,Maxum Services,Maxum Services,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
MobilitySrv,vpn,6997/tcp; 6997/udp,Mobility XE Protocol,Mobility XE Protocol,,Mobility XE mobile VPN. Corroborated against Cisco protocol reference.,https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/qos_nbar/prot_lib/protocol-reference/nbar-protocol-reference/m.html,Cisco protocol-reference corroboration,other,other,https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/qos_nbar/prot_lib/protocol-reference/nbar-protocol-reference/m.html
NFS-or-IIS,other,1025/tcp,,"blackjack | IIS, NFS, or listener RFS remote_file_sharing | network blackjack",,The Nmap service label explicitly combines unrelated possible services.,,fallback; see rationale,,,
PS-Capture-Pro,printing,7216/tcp,PaperStream Capture Professional,PaperStream Capture Professional,,Documented purpose: PaperStream,,registry description / named protocol interpretation,,,
PS-Server,printing,7215/tcp,Communication ports for PaperStream Server services,Communication ports for PaperStream Server services,,Documented purpose: PaperStream,,registry description / named protocol interpretation,,,
PowerAlert-nsa,management,4150/tcp; 4150/udp,PowerAlert Network Shutdown Agent,PowerAlert Network Shutdown Agent,,"Device/system administration, status, or management identified by the service label and registry description.",,registry description / named protocol interpretation,,,
RDCenter,other,4756/tcp,Reticle Decision Center,Reticle Decision Center,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
RETS-or-BackupExec,other,6103/tcp,,rets | Backup Exec Agent Accelerator and Remote Agent also sql server and cisco works blue | RETS,,The Nmap service label explicitly combines unrelated possible services.,,fallback; see rationale,,,
SunVTS-RMI,management,6483/tcp; 6483/udp,SunVTS RMI,SunVTS RMI,,"Named endpoint provides administration, configuration, diagnostics, monitoring, or system management; its transport does not determine the category.",,registry description / named protocol interpretation,,,
Trinoo_Bcast,other,27444/udp,,Trinoo distributed attack tool Master,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
Trinoo_Master,other,27665/tcp,,Trinoo distributed attack tool Master server control port,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
Trinoo_Register,other,31335/udp,,Trinoo distributed attack tool Bcast Daemon registration port,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
WibuKey,licensing,22347/tcp; 22347/udp,WibuKey Standard WkLan,WibuKey Standard WkLan,,WibuKey network software licensing.,https://cdn.wibu.com/fileadmin/wibu_downloads/Manuals_Guides/Manuals_for_Developers/WibuKey_Developer_Guide/wibukey-developerguide-6.00b-02-2011-wibu-systems.pdf,additional primary documentation,,,
X11,remote,6000/tcp; 6000/udp,X Window System,X Window server,,Documented purpose: X Window,,registry description / named protocol interpretation,,,
X11:1,remote,6001/tcp; 6001/udp,,X Window server,,Documented purpose: X Window,,registry description / named protocol interpretation,,,
X11:2,remote,6002/tcp; 6002/udp,,X Window server,,Documented purpose: X Window,,registry description / named protocol interpretation,,,
X11:3,remote,6003/tcp; 6003/udp,,X Window server,,Documented purpose: X Window,,registry description / named protocol interpretation,,,
X11:4,remote,6004/tcp; 6004/udp,,X Window server,,Documented purpose: X Window,,registry description / named protocol interpretation,,,
X11:5,remote,6005/tcp; 6005/udp,,X Window server,,Documented purpose: X Window,,registry description / named protocol interpretation,,,
X11:59,remote,6059/tcp; 6059/udp,,X Window server,,Documented purpose: X Window,,registry description / named protocol interpretation,,,
X11:6,remote,6006/tcp; 6006/udp,,X Window server,,Documented purpose: X Window,,registry description / named protocol interpretation,,,
X11:7,remote,6007/tcp; 6007/udp,,X Window server,,Documented purpose: X Window,,registry description / named protocol interpretation,,,
X11:8,remote,6008/tcp; 6008/udp,,X Window server,,Documented purpose: X Window,,registry description / named protocol interpretation,,,
X11:9,remote,6009/tcp; 6009/udp,,X Window server,,Documented purpose: X Window,,registry description / named protocol interpretation,,,
XmlIpcRegSvc,middleware,9092/tcp; 9092/udp,Xml-Ipc Server Reg,Xml-Ipc Server Reg,,"General application messaging, distributed objects, RPC, transaction coordination, or middleware services.",,registry description / named protocol interpretation,,,
a-trust-rpc,identity,13832/tcp,Certificate Management and Issuing,Certificate Management and Issuing,,Documented purpose: Certificate,,registry description / named protocol interpretation,,,
a1-bs,network,5603/tcp; 5603/udp,A1-BS,,,"Network/telecom signaling, bootstrap, routing, or interconnection. Protocol-specific refinements override this group below.",,registry description / named protocol interpretation,,,
a1-msc,network,5602/tcp; 5602/udp,A1-MSC,,,"Network/telecom signaling, bootstrap, routing, or interconnection. Protocol-specific refinements override this group below.",,registry description / named protocol interpretation,,,
a13-an,network,3125/tcp; 3125/udp,A13-AN Interface,A13-AN Interface,,"Network/telecom signaling, bootstrap, routing, or interconnection. Protocol-specific refinements override this group below.",,registry description / named protocol interpretation,,,
a14,network,3597/tcp; 3597/udp,A14 (AN-to-SC/MM),A14 (AN-to-SC/MM),,"Network/telecom signaling, bootstrap, routing, or interconnection. Protocol-specific refinements override this group below.",,registry description / named protocol interpretation,,,
a15,network,3598/tcp; 3598/udp,A15 (AN-to-AN),A15 (AN-to-AN),,"Network/telecom signaling, bootstrap, routing, or interconnection. Protocol-specific refinements override this group below.",,registry description / named protocol interpretation,,,
a16-an-an,network,4598/tcp; 4598/udp,A16 (AN-AN),A16 (AN-AN),,"Network/telecom signaling, bootstrap, routing, or interconnection. Protocol-specific refinements override this group below.",,registry description / named protocol interpretation,,,
a17-an-an,network,4599/tcp; 4599/udp,A17 (AN-AN),A17 (AN-AN),,"Network/telecom signaling, bootstrap, routing, or interconnection. Protocol-specific refinements override this group below.",,registry description / named protocol interpretation,,,
a21-an-1xbs,network,4597/tcp; 4597/udp,A21 (AN-1xBS),A21 (AN-1xBS),,"Network/telecom signaling, bootstrap, routing, or interconnection. Protocol-specific refinements override this group below.",,registry description / named protocol interpretation,,,
a25-fap-fgw,network,4502/tcp,A25 (FAP-FGW),A25 (FAP-FGW),,"Network/telecom signaling, bootstrap, routing, or interconnection. Protocol-specific refinements override this group below.",,registry description / named protocol interpretation,,,
a26-fap-fgw,network,4726/tcp; 4726/udp,A26 (FAP-FGW),A26 (FAP-FGW),,"Network/telecom signaling, bootstrap, routing, or interconnection. Protocol-specific refinements override this group below.",,registry description / named protocol interpretation,,,
a27-ran-ran,management,28119/tcp,A27 cdma2000 RAN Management,A27 cdma2000 RAN Management,,Documented purpose: Management,,registry description / named protocol interpretation,,,
a3-sdunode,network,5604/tcp; 5604/udp,A3-SDUNode,,,"Network/telecom signaling, bootstrap, routing, or interconnection. Protocol-specific refinements override this group below.",,registry description / named protocol interpretation,,,
a4-sdunode,network,5605/tcp; 5605/udp,A4-SDUNode,,,"Network/telecom signaling, bootstrap, routing, or interconnection. Protocol-specific refinements override this group below.",,registry description / named protocol interpretation,,,
aairnet-1,other,3618/tcp; 3618/udp,AAIR-Network 1,AAIR-Network 1,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
aairnet-2,other,3619/tcp; 3619/udp,AAIR-Network 2,AAIR-Network 2,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
aal-lm,licensing,1469/tcp; 1469/udp,Active Analysis Limited License Manager,Active Analysis Limited License Manager,,Software license management/verification identified in the source description.,,registry description / named protocol interpretation,,,
aamp,security,3939/tcp; 3939/udp,Anti-virus Application Management Port,Anti-virus Application Management Port,,Documented purpose: Anti-virus,,registry description / named protocol interpretation,,,
aap,other,2878/tcp; 2878/udp,AAP,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
aas,other,1601/tcp; 1601/udp,aas,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
abacus-remote,other,2894/tcp; 2894/udp,ABACUS-REMOTE,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
abarsd,other,8402/tcp; 8402/udp,abarsd,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
abatemgr,other,3655/tcp; 3655/udp,ActiveBatch Exec Agent,ActiveBatch Exec Agent,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
abatjss,management,3656/tcp; 3656/udp,ActiveBatch Job Scheduler,ActiveBatch Job Scheduler,,"Compute/cluster resource coordination, scheduling, availability, or management.",,registry description / named protocol interpretation,,,
abb-escp,industrial,6316/tcp; 6316/udp,Ethernet Sensor Communications Protocol,Ethernet Sensor Communications Protocol,,Documented purpose: Sensor,,registry description / named protocol interpretation,,,
abb-hw,management,10020/tcp,Hardware configuration and maintenance,Hardware configuration and maintenance,,Documented purpose: configuration,,registry description / named protocol interpretation,,,
abbaccuray,other,1546/tcp; 1546/udp,abbaccuray,,,"A likely purpose can be guessed from the abbreviated product/service name, but the available description is insufficient for a defensible specific assignment.",,fallback; see rationale,,,
abbs,other,4885/tcp; 4885/udp,ABBS,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
abcsoftware,other,3996/tcp,abcsoftware-01,abcsoftware-01,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
abcvoice-port,media,3781/tcp; 3781/udp,ABCvoice server port,ABCvoice server port,,"Audio/video, voice calling, audiovisual device operation, or broadcast media workflow.",,registry description / named protocol interpretation,,,
about,other,2019/udp,,,,No purpose description is available for the named service in the reviewed registry snapshots.,,fallback; see rationale,,,
abr-api,storage,1954/tcp; 1954/udp,ABR-API (diskbridge),ABR-API (diskbridge),,"Block/storage infrastructure, storage replication, tape access, or storage data movement.",,registry description / named protocol interpretation,,,
abr-secure,storage,1955/tcp; 1955/udp,ABR-Secure Data (diskbridge),ABR-Secure Data (diskbridge),,"Block/storage infrastructure, storage replication, tape access, or storage data movement.",,registry description / named protocol interpretation,,,
abyss,management,9999/tcp,,Abyss web server remote web management interface | distinct,,Documented purpose: management,,registry description / named protocol interpretation,,,
ac-cluster,other,18463/tcp; 18463/udp,AC Cluster,AC Cluster,,Cluster communication is product-specific; the short source description does not establish a more precise primary function.,,fallback; see rationale,,,
ac-tech,other,2796/tcp; 2796/udp,ac-tech,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
acap,management,674/tcp; 674/udp,ACAP,ACAP server of Communigate (www.stalker.com),,Application configuration and preference synchronization. Corroborated against Cisco protocol reference.,https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/qos_nbar/prot_lib/protocol-reference/nbar-protocol-reference/a.html,Cisco protocol-reference corroboration,net-admin,network-management,https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/qos_nbar/prot_lib/protocol-reference/nbar-protocol-reference/a.html
acas,other,62/tcp; 62/udp,ACA Services,ACA Services,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,other,other,https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/qos_nbar/prot_lib/protocol-reference/nbar-protocol-reference/a.html
acc-raid,storage,2800/tcp; 2800/udp,ACC RAID,ACC RAID,,Documented purpose: RAID,,registry description / named protocol interpretation,,,
accel,other,4108/tcp; 4108/udp,ACCEL,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
accelenet,other,1182/tcp,AcceleNet Control,accelenet-data | AcceleNet Control | AcceleNet Data,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
accelenet-data,other,1182/udp,AcceleNet Data,AcceleNet Data,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
accessbuilder,other,888/tcp; 888/udp,AccessBuilder,cddbp | or Audio CD Database | CD Database Protocol,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,other,other,https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/qos_nbar/prot_lib/protocol-reference/nbar-protocol-reference/a.html
accessnetwork,other,699/tcp; 699/udp,Access Network,Access Network,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,other,other,https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/qos_nbar/prot_lib/protocol-reference/nbar-protocol-reference/a.html
accord-mgc,other,1205/tcp; 1205/udp,Accord-MGC,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
acctopus-cc,other,6868/tcp,Acctopus Command Channel,acctopus-st | Acctopus Command Channel | Acctopus Status,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
acctopus-st,management,6868/udp,Acctopus Status,Acctopus Status,,"Device/system administration, status, or management identified by the service label and registry description.",,registry description / named protocol interpretation,,,
accu-lmgr,management,7781/tcp; 7781/udp,accu-lmgr,,,"Device/system administration, status, or management identified by the service label and registry description.",,registry description / named protocol interpretation,,,
accuracer,database,12007/tcp; 12007/udp,Accuracer Database System Server,Accuracer Database System ñ Server | Accuracer Database System ñ Server | Accuracer Database System Server,,Documented purpose: Database,,registry description / named protocol interpretation,,,
accuracer-dbms,management,12008/tcp; 12008/udp,Accuracer Database System Admin,Accuracer Database System ñ Admin | Accuracer Database System ñ Admin | Accuracer Database System Admin,,"The named endpoint administers, configures, monitors, or licenses another service; classify the endpoint role.",,registry description / named protocol interpretation,,,
acd-pm,management,2259/tcp; 2259/udp; 8793/tcp,Accedian Performance Measurement,Accedian Performance Measurement | bid-serv | Accedian Performance Measurement | BIF identifiers resolution service,,Documented purpose: Performance Measurement,,registry description / named protocol interpretation,,,
ace-client,identity,2334/tcp; 2334/udp,ACE Client Auth,ACE Client Auth,,"Authentication, identity/directory information, credential/key handling, or authorization endpoint.",,registry description / named protocol interpretation,,,
ace-proxy,other,2335/tcp; 2335/udp,ACE Proxy,ACE Proxy,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
ace-server,other,2475/tcp; 2475/udp,ACE Server,ACE Server,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
ace-svr-prop,other,2476/tcp; 2476/udp,ACE Server Propagation,ACE Server Propagation,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
aci,middleware,187/tcp; 187/udp,Application Communication Interface,Application Communication Interface,,"General application messaging, distributed objects, RPC, transaction coordination, or middleware services.",,registry description / named protocol interpretation,,,
acis,other,9953/tcp; 9953/udp,9953,9953,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
acl-manager,management,4013/tcp; 4013/udp,ACL Manager,ACL Manager,,Documented purpose: Manager,,registry description / named protocol interpretation,,,
acmaint_dbd,other,774/udp,,,,No purpose description is available for the named service in the reviewed registry snapshots.,,fallback; see rationale,,,
acmaint_transd,other,775/udp,,,,No purpose description is available for the named service in the reviewed registry snapshots.,,fallback; see rationale,,,
acme,management,9216/tcp; 9216/udp,Aionex Communication Management Engine,Aionex Communication Management Engine,,Documented purpose: Management,,registry description / named protocol interpretation,,,
acms,management,3980/tcp; 3980/udp,,Aircraft Cabin Management System,,Documented purpose: Management,,registry description / named protocol interpretation,,,
acmsoda,other,6969/tcp; 6969/udp,acmsoda,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
acnet,industrial,6801/tcp; 6801/udp,ACNET Control System Protocol,ACNET Control System Protocol,,"Physical device/process automation, industrial control, metering, building control, robotics, or industrial telemetry.",,registry description / named protocol interpretation,,,
acp,other,599/tcp; 599/udp,Aeolon Core Protocol,Aeolon Core Protocol,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,other,other,https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/qos_nbar/prot_lib/protocol-reference/nbar-protocol-reference/a.html
acp-conduit,management,3823/tcp; 3823/udp,Compute Pool Conduit,Compute Pool Conduit,,"Compute/cluster resource coordination, scheduling, availability, or management.",,registry description / named protocol interpretation,,,
acp-discovery,discovery,3822/tcp; 3822/udp,Compute Pool Discovery,Compute Pool Discovery,,Documented purpose: Discovery,,registry description / named protocol interpretation,,,
acp-policy,management,3824/tcp; 3824/udp,Compute Pool Policy,Compute Pool Policy,,"Compute/cluster resource coordination, scheduling, availability, or management.",,registry description / named protocol interpretation,,,
acp-port,other,2071/tcp; 2071/udp,Axon Control Protocol,Axon Control Protocol,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
acp-proto,other,4046/tcp; 4046/udp,Accounting Protocol,Accounting Protocol,,"Specialized business, scientific, or medical application; outside the selected core taxonomy.",,fallback; see rationale,,,
acplt,industrial,7509/tcp,ACPLT - process automation service,ACPLT - process automation service,,Documented purpose: process automation,,registry description / named protocol interpretation,,,
acptsys,other,2149/tcp; 2149/udp,ACPTSYS,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
acr-nema,other,104/tcp; 104/udp,ACR-NEMA Digital Imag. & Comm. 300,ACR-NEMA Digital Imag. & Comm. 300,,"Specialized business, scientific, or medical application; outside the selected core taxonomy.",,fallback; see rationale,other,other,https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/qos_nbar/prot_lib/protocol-reference/nbar-protocol-reference/a.html
acronis-backup,storage,44445/tcp,Acronis Backup Gateway service port,Acronis Backup Gateway service port,,Documented purpose: Backup,,registry description / named protocol interpretation,,,
acter,other,4671/tcp; 4671/udp,Bull RSF action server,Bull RSF action server,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
actifio-c2c,other,5103/tcp,Actifio C2C,Actifio C2C,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
